Work Title,Writer 1 Name,Writer 1 IPI,Writer 1 Share %,Publisher 1 Name,Publisher 1 IPI,Publisher 1 Share %,ISRC,ISWC
"Circulation","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2619999",""
"Cumulo-Nimboid","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620000",""
"Mesocyclone","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620001",""
"Inflow","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620002",""
"Downdraft","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620003",""
"Enhanced Protocol","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620004",""
"Ominous Howl","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620005",""
"Gust Front","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620006",""
"Vortex","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620007",""
"Overshooting Tops","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620008",""
"RFD","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620009",""
"Hook, Echo and Bow","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620010",""
"Disaster","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620011",""
"Supercell","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620012",""
"Warning","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620013",""
"HP Cell","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620014",""
"Low Pre Super","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620015",""
"Faded Gray Vorticies","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620016",""
"Wall Cloud","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620017",""
"Genesis","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620018",""
"Power Flash","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620019",""
"Clear Slot","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620020",""
"Twins","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620021",""
"EF5","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620022",""
"PDS","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620023",""
"Get There","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620024",""
"Into The Storm","Charles Clottin","",100%,"Urban Reclaimers Publishing","",100%,"QT6FK2620025",""
