Work Title,ISRC,Artist,Album,UPC,Release Date,Record Label,PRO,Publisher,Ownership%
"Circulation","QT6FK2619999","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Cumulo-Nimboid","QT6FK2620000","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Mesocyclone","QT6FK2620001","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Inflow","QT6FK2620002","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Downdraft","QT6FK2620003","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Enhanced Protocol","QT6FK2620004","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Ominous Howl","QT6FK2620005","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Gust Front","QT6FK2620006","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Vortex","QT6FK2620007","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Overshooting Tops","QT6FK2620008","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"RFD","QT6FK2620009","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Hook, Echo and Bow","QT6FK2620010","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Disaster","QT6FK2620011","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Supercell","QT6FK2620012","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Warning","QT6FK2620013","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"HP Cell","QT6FK2620014","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Low Pre Super","QT6FK2620015","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Faded Gray Vorticies","QT6FK2620016","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Wall Cloud","QT6FK2620017","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Genesis","QT6FK2620018","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Power Flash","QT6FK2620019","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Clear Slot","QT6FK2620020","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Twins","QT6FK2620021","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"EF5","QT6FK2620022","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"PDS","QT6FK2620023","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Get There","QT6FK2620024","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Into The Storm","QT6FK2620025","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Deluge","QT6FK2620026","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"MCC","QT6FK2620027","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Epic End","QT6FK2620028","The Weatherman","SuperCellular","882204209164","2026-08-07","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Electro Pump","QT6FJ2601685","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Between Us","QT6FJ2601686","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Slivver","QT6FJ2601687","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"District 12","QT6FJ2601688","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Go Sergio, Go","QT6FJ2601689","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Fire Dancer","QT6FJ2601690","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Endless Drive","QT6FJ2601691","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Midnight Mania","QT6FJ2601692","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Cry Shen do","QT6FJ2601693","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Dont Dance Alone","QT6FJ2601694","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Dune Buggy","QT6FJ2601695","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Bloody Sunday","QT6FJ2601696","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Clifford","QT6FJ2601697","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"The Abyss","QT6FJ2601698","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"David","QT6FJ2601699","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Dawn Break Dancers","QT6FJ2601700","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Dreaming of You Everywhere","QT6FJ2601701","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Welcome Back to Vice City","QT6FJ2601702","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
"Electro Rush","QT6FJ2601703","The Weatherman","Electro Magnetic","882204261568","2026-07-31","Urban Reclaimers Productions","BMI","Urban Reclaimers Publishing",100%
